playground_size,mpi_task,threads,runtime,mean_time
10000,3,9,5.611568,0.112231
10000,3,9,5.607477,0.112150
10000,3,9,5.603972,0.112079
10000,3,10,5.080505,0.101610
10000,3,10,5.081394,0.101628
10000,3,10,5.116308,0.102326
10000,3,10,5.108040,0.102161
10000,3,10,5.108662,0.102173
10000,3,11,4.678609,0.093572
10000,3,11,4.688459,0.093769
10000,3,11,4.682133,0.093643
10000,3,11,4.666188,0.093324
10000,3,11,4.686579,0.093732
10000,3,12,4.289651,0.085793
10000,3,12,4.283238,0.085665
10000,3,12,4.303730,0.086075
10000,3,12,4.302107,0.086042
10000,3,12,4.358783,0.087176
10000,4,1,35.817010,0.716340
10000,4,1,35.944470,0.718889
10000,4,1,35.811318,0.716226
10000,4,1,35.831809,0.716636
10000,4,1,35.805683,0.716114
10000,4,2,18.114435,0.362289
10000,4,2,18.118587,0.362372
10000,4,2,18.160801,0.363216
10000,4,2,18.089538,0.361791
10000,4,2,18.127660,0.362553
10000,4,3,12.190901,0.243818
10000,4,3,12.185123,0.243702
10000,4,3,12.181454,0.243629
10000,4,3,12.185630,0.243713
10000,4,3,12.171693,0.243434
10000,4,4,9.219645,0.184393
10000,4,4,9.223685,0.184474
10000,4,4,9.203294,0.184066
10000,4,4,9.246108,0.184922
10000,4,4,9.220595,0.184412
10000,4,5,7.473569,0.149471
10000,4,5,7.435916,0.148718
10000,4,5,7.463009,0.149260
10000,4,5,7.445559,0.148911
10000,4,5,7.425758,0.148515
10000,4,6,6.263166,0.125263
10000,4,6,6.251892,0.125038
10000,4,6,6.248138,0.124963
10000,4,6,6.244894,0.124898
10000,4,6,6.281727,0.125635
10000,4,7,5.415595,0.108312
10000,4,7,5.626990,0.112540
10000,4,7,5.428845,0.108577
10000,4,7,5.431836,0.108637
10000,4,7,5.404918,0.108098
10000,4,8,4.790768,0.095815
10000,4,8,4.803580,0.096072
10000,4,8,4.810812,0.096216
10000,4,8,4.809053,0.096181
10000,4,8,4.785756,0.095715
10000,4,9,4.276136,0.085523
10000,4,9,4.311831,0.086237
10000,4,9,4.314369,0.086287
10000,4,9,4.311962,0.086239
10000,4,9,4.298932,0.085979
10000,4,10,3.897608,0.077952
10000,4,10,3.918911,0.078378
10000,4,10,3.880198,0.077604
10000,4,10,3.881965,0.077639
10000,4,10,3.905177,0.078104
10000,4,11,3.583572,0.071671
10000,4,11,3.551825,0.071036
10000,4,11,3.600095,0.072002
10000,4,11,3.585381,0.071708
10000,4,11,3.558046,0.071161
10000,4,12,3.292256,0.065845
10000,4,12,3.301817,0.066036
10000,4,12,3.351603,0.067032
10000,4,12,3.313784,0.066276
10000,4,12,3.291584,0.065832
